line,xor,penalty,greedy_or,budget
1,61,0,47,230
2,61,3,1000,1000
3,61,3,1000,1000
4,61,3,1000,1000
5,61,3,1000,1000
6,61,3,1000,1000
7,62,3,1000,1000
8,61,5,1000,1000
9,63,0,48,237
10,63,0,48,237
11,61,5,1000,1000
12,63,0,48,237
16,61,3,1000,1000
18,62,3,1000,1000
19,63,0,48,237
20,61,5,1000,1000
21,63,0,48,237
22,63,0,48,237
23,61,5,1000,1000
29,63,0,49,238
30,62,0,47,233
31,62,0,47,233
33,63,0,48,237
34,63,0,48,237
35,63,0,48,237
36,63,0,47,236
37,63,0,48,237
38,63,0,48,237
39,63,0,48,237
40,63,0,48,237
42,63,0,48,237
43,63,0,48,237
47,63,0,49,238
48,62,0,47,233
49,62,0,47,233
50,63,3,1000,1000
52,63,0,47,236
53,63,0,48,237
54,63,0,48,237
55,63,0,48,237
56,63,0,47,236
57,63,0,48,237
58,63,0,48,237
59,63,0,48,237
60,63,0,48,237
62,63,0,48,237
65,63,0,49,238
66,62,0,47,233
67,62,0,47,233
68,63,3,1000,1000
70,63,0,47,236
71,63,0,47,236
72,63,0,48,237
73,63,0,48,237
74,63,0,48,237
75,63,0,47,236
76,63,0,48,237
77,63,0,48,237
78,63,0,48,237
79,63,0,47,236
85,62,3,1000,1000
90,61,5,1000,1000
92,63,3,1000,1000
93,63,3,1000,1000
94,63,3,1000,1000
95,63,0,49,238
97,63,3,1000,1000
98,63,3,1000,1000
99,63,3,1000,1000
100,63,0,49,238
106,61,5,1000,1000
108,63,3,1000,1000
109,63,3,1000,1000
110,63,3,1000,1000
111,63,0,49,238
114,63,3,1000,1000
116,63,3,1000,1000
117,63,3,1000,1000
125,63,3,1000,1000
126,62,3,1000,1000
127,62,3,1000,1000
129,63,3,1000,1000
130,63,3,1000,1000
131,63,3,1000,1000
132,63,3,1000,1000
133,63,3,1000,1000
134,63,3,1000,1000
135,63,3,1000,1000
136,63,3,1000,1000
138,63,3,1000,1000
139,63,3,1000,1000
144,63,3,1000,1000
145,62,3,1000,1000
146,62,3,1000,1000
148,63,3,1000,1000
149,63,3,1000,1000
151,63,3,1000,1000
152,63,3,1000,1000
153,63,3,1000,1000
155,63,3,1000,1000
156,63,3,1000,1000
158,63,3,1000,1000
162,62,3,1000,1000
163,63,3,1000,1000
164,62,3,1000,1000
165,62,3,1000,1000
168,63,3,1000,1000
169,63,3,1000,1000
170,63,3,1000,1000
171,63,3,1000,1000
172,63,3,1000,1000
173,63,3,1000,1000
174,63,3,1000,1000
175,63,3,1000,1000
176,63,3,1000,1000
177,63,3,1000,1000
183,62,3,1000,1000
184,62,3,1000,1000
206,63,3,1000,1000
207,63,3,1000,1000
208,63,3,1000,1000
214,63,3,1000,1000
215,63,3,1000,1000
216,63,3,1000,1000
218,63,3,1000,1000
219,63,3,1000,1000
