line,xor,or_lower_bound,heavy_or_lower_bound,target_or
3524,60,49,41,41
3525,60,49,41,41
3608,59,51,44,44
3754,59,51,44,44
3860,59,51,44,44
3934,59,51,44,44
4368,59,51,44,44
7327,59,51,44,44
7434,59,51,44,44
7504,59,51,44,44
12626,59,52,43,44
15662,59,52,43,44
15742,60,49,41,41
15743,60,49,41,41
15744,60,49,41,41
15763,60,49,41,41
15764,60,49,41,41
15765,60,49,41,41
15783,60,49,41,41
15784,60,49,41,41
15785,60,49,41,41
15804,59,51,41,44
15966,59,51,44,44
15967,59,51,44,44
15990,59,51,44,44
16116,59,51,44,44
16117,59,51,44,44
16139,59,51,44,44
16231,59,51,44,44
16232,59,51,44,44
16254,59,51,44,44
16669,59,52,44,44
16820,59,51,44,44
16821,59,51,44,44
16842,59,51,44,44
16938,59,51,44,44
16939,59,51,44,44
16960,59,51,44,44
17227,59,52,44,44
17328,59,51,44,44
17329,59,51,44,44
17352,59,51,44,44
17581,59,52,44,44
19600,59,51,44,44
19601,59,51,44,44
19621,59,51,44,44
19745,59,51,44,44
19746,59,51,44,44
19765,59,51,44,44
19862,59,51,44,44
19863,59,51,44,44
19882,59,51,44,44
20966,58,53,47,47
21774,58,53,47,47
22441,58,53,47,47
25688,58,53,47,47
26275,58,53,47,47
28471,58,53,47,47
33336,59,52,44,44
33490,59,51,44,44
33491,59,51,44,44
33512,59,51,44,44
33604,59,51,44,44
33605,59,51,44,44
33626,59,51,44,44
33931,59,52,44,44
34027,59,51,44,44
34028,59,51,44,44
34050,59,51,44,44
34259,59,52,44,44
36911,58,53,47,47
37456,58,53,47,47
39729,58,53,47,47
41674,59,51,44,44
41712,59,51,44,44
46190,58,53,47,47
