line,xor,or_lower_bound,heavy_or_lower_bound,target_or
142867,59,51,44,44
142908,58,53,44,47
142919,58,53,44,47
144273,59,51,44,44
144275,59,51,44,44
146224,58,53,47,47
146225,58,53,47,47
146262,58,53,47,47
156849,59,51,44,44
156915,58,53,44,47
156955,59,51,44,44
157408,59,51,44,44
157784,58,53,47,47
157785,58,53,47,47
157837,58,53,47,47
159596,59,51,44,44
159604,59,51,44,44
159678,58,53,44,47
160480,58,53,47,47
161200,59,51,44,44
161206,59,51,44,44
162059,58,53,47,47
169622,58,53,44,47
172308,59,51,44,44
173287,58,53,44,47
174703,59,51,44,44
